Link_index	Source	Destination	Capacity(EPRps)	Length
402	214	18	53651.94	62.9	real
403	8	215	53651.94	0	virtual
404	215	30	53651.94	17.89	real
405	43	216	53651.94	0	virtual
406	216	46	53651.94	99.22	real
407	26	217	53651.94	0	virtual
408	217	29	53651.94	31.0	real
409	8	218	53651.94	0	virtual
410	218	36	53651.94	6.32	real
411	8	219	53651.94	0	virtual
412	219	47	53651.94	3.64	real
413	43	220	53651.94	0	virtual
414	220	44	53651.94	68.22	real
415	12	221	53651.94	0	virtual
416	221	30	53651.94	57.03	real
417	4	222	53651.94	0	virtual
418	222	8	53651.94	69.5	real
419	4	223	53651.94	0	virtual
420	223	7	53651.94	12.43	real
421	6	224	53651.94	0	virtual
422	224	7	53651.94	25.43	real
423	25	225	53651.94	0	virtual
424	225	37	53651.94	52.66	real
425	45	226	53651.94	0	virtual
426	226	47	53651.94	49.38	real
427	1	227	53651.94	0	virtual
428	227	8	53651.94	52.44	real
429	30	228	53651.94	0	virtual
430	228	31	53651.94	53.89	real
431	42	229	53651.94	0	virtual
432	229	46	53651.94	23.79	real
433	8	230	53651.94	0	virtual
434	230	38	53651.94	21.04	real
435	4	231	53651.94	0	virtual
436	231	9	53651.94	57.97	real
437	38	232	53651.94	0	virtual
438	232	39	53651.94	21.38	real
439	2	233	53651.94	0	virtual
440	233	3	53651.94	7.28	real
441	17	234	53651.94	0	virtual
442	234	18	53651.94	72.97	real
443	2	235	53651.94	0	virtual
444	235	3	53651.94	55.45	real
445	13	236	53651.94	0	virtual
446	236	30	53651.94	64.82	real
447	4	237	53651.94	0	virtual
448	237	7	53651.94	103.34	real
449	26	238	53651.94	0	virtual
450	238	27	53651.94	43.95	real
451	14	239	53651.94	0	virtual
452	239	15	53651.94	78.77	real
453	37	240	53651.94	0	virtual
454	240	38	53651.94	41.59	real
455	22	241	53651.94	0	virtual
456	241	30	53651.94	4.82	real
457	14	242	53651.94	0	virtual
458	242	42	53651.94	28.43	real
459	6	243	53651.94	0	virtual
460	243	7	53651.94	86.01	real
461	42	244	53651.94	0	virtual
462	244	44	53651.94	39.58	real
463	11	245	53651.94	0	virtual
464	245	19	53651.94	42.51	real
465	8	246	53651.94	0	virtual
466	246	35	53651.94	87.79	real
467	22	247	53651.94	0	virtual
468	247	30	53651.94	10.19	real
469	26	248	53651.94	0	virtual
470	248	27	53651.94	64.26	real
471	15	249	53651.94	0	virtual
472	249	16	53651.94	106.1	real
473	5	250	53651.94	0	virtual
474	250	47	53651.94	107.12	real
475	10	251	53651.94	0	virtual
476	251	11	53651.94	34.17	real
477	32	252	53651.94	0	virtual
478	252	38	53651.94	50.77	real
479	14	253	53651.94	0	virtual
480	253	45	53651.94	30.5	real
481	8	254	53651.94	0	virtual
482	254	32	53651.94	98.8	real
483	10	255	53651.94	0	virtual
484	255	11	53651.94	98.83	real
485	6	256	53651.94	0	virtual
486	256	7	53651.94	10.27	real
487	2	257	53651.94	0	virtual
488	257	6	53651.94	13.45	real
489	40	258	53651.94	0	virtual
490	258	41	53651.94	88.94	real
491	21	259	53651.94	0	virtual
492	259	28	53651.94	72.96	real
493	3	260	53651.94	0	virtual
494	260	49	53651.94	46.18	real
495	30	261	53651.94	0	virtual
496	261	36	53651.94	67.27	real
497	21	262	53651.94	0	virtual
498	262	28	53651.94	99.48	real
499	47	263	53651.94	0	virtual
500	263	48	53651.94	11.83	real
501	34	264	53651.94	0	virtual
502	264	35	53651.94	66.57	real
503	4	265	53651.94	0	virtual
504	265	7	53651.94	78.98	real
505	12	266	53651.94	0	virtual
506	266	30	53651.94	58.72	real
507	8	267	53651.94	0	virtual
508	267	36	53651.94	3.06	real
509	30	268	53651.94	0	virtual
510	268	31	53651.94	72.71	real
511	17	269	53651.94	0	virtual
512	269	18	53651.94	59.49	real
513	30	270	53651.94	0	virtual
514	270	38	53651.94	14.16	real
515	20	271	53651.94	0	virtual
516	271	21	53651.94	20.94	real
517	21	272	53651.94	0	virtual
518	272	28	53651.94	38.66	real
519	8	273	53651.94	0	virtual
520	273	36	53651.94	32.25	real
521	32	274	53651.94	0	virtual
522	274	38	53651.94	8.29	real
523	4	275	53651.94	0	virtual
524	275	8	53651.94	103.43	real
525	20	276	53651.94	0	virtual
526	276	26	53651.94	53.72	real
527	26	277	53651.94	0	virtual
528	277	27	53651.94	83.37	real
529	14	278	53651.94	0	virtual
530	278	42	53651.94	109.96	real
531	20	279	53651.94	0	virtual
532	279	21	53651.94	30.71	real
533	8	280	53651.94	0	virtual
534	280	32	53651.94	26.52	real
535	33	281	53651.94	0	virtual
536	281	34	53651.94	29.49	real
537	24	282	53651.94	0	virtual
538	282	27	53651.94	10.9	real
539	2	283	53651.94	0	virtual
540	283	3	53651.94	33.55	real
541	13	284	53651.94	0	virtual
542	284	30	53651.94	57.74	real
543	16	285	53651.94	0	virtual
544	285	17	53651.94	87.47	real
545	16	286	53651.94	0	virtual
546	286	17	53651.94	46.57	real
547	43	287	53651.94	0	virtual
548	287	44	53651.94	7.08	real
549	2	288	53651.94	0	virtual
550	288	6	53651.94	76.91	real
551	4	289	53651.94	0	virtual
552	289	7	53651.94	64.66	real
553	33	290	53651.94	0	virtual
554	290	34	53651.94	38.78	real
555	32	291	53651.94	0	virtual
556	291	33	53651.94	76.89	real
557	19	292	53651.94	0	virtual
558	292	30	53651.94	38.46	real
559	26	293	53651.94	0	virtual
560	293	27	53651.94	39.64	real
561	8	294	53651.94	0	virtual
562	294	35	53651.94	33.99	real
563	34	295	53651.94	0	virtual
564	295	35	53651.94	32.33	real
565	21	296	53651.94	0	virtual
566	296	28	53651.94	64.56	real
567	2	297	53651.94	0	virtual
568	297	3	53651.94	55.44	real
569	14	298	53651.94	0	virtual
570	298	42	53651.94	46.33	real
571	8	299	53651.94	0	virtual
572	299	31	53651.94	56.87	real
